"orf_name","strain_id","384plate","384row","384col"
"smorf103525",16129,25,7,8
"smorf104863",16120,25,12,7
"smorf108956",15919,24,7,22
"smorf111229",16127,25,5,8
"smorf112012",16078,25,12,4
"smorf112648",16230,25,10,15
"smorf113148",16158,25,8,10
"smorf114116",16181,25,3,12
"smorf114808",15991,28,7,11
"smorf115731",16114,25,6,7
"smorf11717",15958,25,2,3
"smorf117193",16095,25,15,5
"smorf117261",16149,25,13,9
"smorf120787",16076,25,10,4
"smorf121439",16080,25,14,4
"smorf124416",15688,24,5,6
"smorf125470",16213,25,7,14
"smorf126666",16096,25,2,6
"smorf127837",15996,28,12,11
"smorf132893",15523,23,8,16
"smorf133505",16186,25,8,12
"smorf133911",16007,28,6,12
"smorf134357",16165,25,15,10
"smorf13665",16136,25,14,8
"smorf140045",16172,25,8,11
"smorf140278",16156,25,6,10
"smorf142567",16152,25,2,10
"smorf143955",15988,28,5,11
"smorf147166",16121,25,13,7
"smorf148504",16055,28,4,14
"smorf149486",16093,25,13,5
"smorf149797",16197,25,5,13
"smorf150357",16179,25,15,11
"smorf150492",15845,24,8,17
"smorf150961",16084,25,4,5
"smorf155486",16089,25,9,5
"smorf158762",16141,25,5,9
"smorf158864",16148,25,12,9
"smorf160622",15872,24,5,19
"smorf161202",16062,28,6,23
"smorf162196",16011,27,2,11
"smorf164095",16246,25,12,16
"smorf168200",16101,25,7,6
"smorf169623",16206,25,14,13
"smorf169679",16175,25,11,11
"smorf17456",16133,25,11,8
"smorf17494",16236,25,2,16
"smorf180686",16161,25,11,10
"smorf180876",16173,25,9,11
"smorf182621",16200,25,8,13
"smorf185827",16205,25,13,13
"smorf186872",15602,23,3,22
"smorf188253",15752,24,13,10
"smorf188561",16018,28,14,12
"smorf190867",15939,24,13,23
"smorf194227",16248,25,14,16
"smorf194281",15989,28,6,11
"smorf195474",15851,24,14,17
"smorf19629",16056,28,4,23
"smorf196526",16245,25,11,16
"smorf201104",16196,25,4,13
"smorf202335",16111,25,3,7
"smorf204784",16145,25,9,9
"smorf205454",15967,25,11,3
"smorf210247",15901,24,4,21
"smorf212745",16176,25,12,11
"smorf213553",15755,24,2,11
"smorf216732",16081,25,15,4
"smorf217734",15928,24,2,23
"smorf218549",16237,25,3,16
"smorf219332",15632,24,5,2
"smorf220171",16039,28,11,13
"smorf220257",16001,28,2,12
"smorf220732",16228,25,8,15
"smorf221651",16046,28,14,13
"smorf222696",16201,25,9,13
"smorf224210",15933,24,7,23
"smorf224866",16118,25,10,7
"smorf225378",16187,25,9,12
"smorf225454",15969,25,13,3
"smorf22633",16057,28,5,14
"smorf227923",16099,25,5,6
"smorf228080",15848,24,11,17
"smorf229000",16162,25,12,10
"smorf229340",15873,24,6,19
"smorf231856",16092,25,12,5
"smorf235828",16107,25,13,6
"smorf23637",16208,25,2,14
"smorf238076",16214,25,8,14
"smorf238083",16135,25,13,8
"smorf239636",16085,25,5,5
"smorf241370",16225,25,5,15
"smorf241479",15849,24,12,17
"smorf244406",16235,25,15,15
"smorf24539",16088,25,8,5
"smorf247515",16183,25,5,12
"smorf25077",15452,23,7,13
"smorf251485",15633,24,6,2
"smorf253532",16163,25,13,10
"smorf258801",15952,25,10,2
"smorf26463",15875,24,8,19
"smorf28057",15409,27,3,19
"smorf28850",15986,28,3,11
"smorf31518",16040,28,12,13
"smorf36039",15773,24,6,12
"smorf36872",16244,25,10,16
"smorf37503",16233,25,13,15
"smorf37601",15965,25,9,3
"smorf39073",16189,25,11,12
"smorf40642",16216,25,10,14
"smorf42031",16130,25,8,8
"smorf42836",15918,24,6,22
"smorf46055",16090,25,10,5
"smorf49813",15906,24,9,21
"smorf51627",16150,25,14,9
"smorf52220",16218,25,12,14
"smorf53663",16170,25,6,11
"smorf54585",16003,27,14,10
"smorf54868",16106,25,12,6
"smorf54933",16174,25,10,11
"smorf56119",15574,23,3,20
"smorf59229",16113,25,5,7
"smorf60956",16071,28,15,5
"smorf61569",16061,28,7,14
"smorf6264",16122,25,14,7
"smorf6277",16083,25,3,5
"smorf63147",16234,25,14,15
"smorf70585",16132,25,10,8
"smorf72795",16217,25,11,14
"smorf73888",16243,25,9,16
"smorf74305",16195,25,3,13
"smorf74443",16140,27,15,22
"smorf77148",16167,25,3,11
"smorf78882",16207,25,15,13
"smorf80369",16138,25,2,9
"smorf80888",16204,25,12,13
"smorf81759",16169,25,5,11
"smorf82091",15903,24,6,21
"smorf82652",16075,25,9,4
"smorf85155",15824,24,15,15
"smorf86619",16177,25,13,11
"smorf91035",16102,25,8,6
"smorf9142",15936,24,10,23
"smorf91458",16059,28,5,23
"smorf91935",16164,25,14,10
"smorf91978",15921,24,9,22
"smorf92856",15811,24,2,15
"smorf93719",15862,24,10,18
"smorf9630",16124,25,2,8
"smorf97346",16000,28,15,11
"smorf98451",16151,25,15,9
"smorf99482",15907,24,10,21
"YAL031W-A",16352,26,4,4
"YAL042C-A",16510,28,2,21
"YAL045C",16757,26,12,4
"YAL056C-A",16459,26,11,14
"YBL053W",16502,28,8,20
"YBL071C",1370,5,11,4
"YBR032W",16333,26,8,2
"YBR076C-A",16319,28,11,16
"YBR178W",16505,28,11,20
"YBR196C-A",4266,15,7,17
"YBR226C",16555,26,13,17
"YBR292C",16498,28,5,20
"YCL058C",745,3,9,7
"YCR024C-B",16318,28,10,16
"YCR025C",16553,26,11,17
"YCR064C",16549,26,7,17
"YCR085W",16463,26,2,15
"YCR095W-A",16272,25,4,22
"YDL009C",16389,26,8,7
"YDL062W",16563,26,13,18
"YDL071C",16503,28,9,20
"YDL086C-A",16850,26,7,19
"YDL158C",16355,26,7,4
"YDL196W",16774,26,5,9
"YDR008C",16453,26,3,14
"YDR048C",16369,26,11,5
"YDR102C",16415,26,5,10
"YDR136C",16609,27,14,3
"YDR169C-A",3971,14,7,21
"YDR215C",16558,26,3,18
"YDR220C",16327,28,4,17
"YDR250C",16320,27,4,13
"YDR274C",16500,28,6,20
"YDR344C",16576,26,6,20
"YDR426C",16511,28,3,21
"YDR510C-A",16263,28,3,6
"YDR524C-A",16661,25,2,20
"YEL033W",16560,26,8,18
"YEL034C-A",16612,27,13,4
"YEL067C",16611,27,8,4
"YER068C-A",16564,26,3,19
"YER076W-A",16444,26,5,13
"YER087C-A",16603,27,14,13
"YER119C-A",16493,28,14,19
"YER121W",16442,26,2,13
"YER137W-A",16347,26,11,3
"YER145C-A",16571,26,14,19
"YER158W-A",16289,28,5,15
"YFL013W-A",16620,28,15,6
"YFL015W-A",16375,26,4,6
"YFL021C-A",16621,28,14,6
"YFR036W-A",16920,27,13,5
"YGL007W",1226,5,4,11
"YGL118C",16570,26,13,19
"YGL132W",16422,26,15,10
"YGL152C",16616,27,8,6
"YGL165C",16610,27,4,4
"YGL193C",16360,26,2,5
"YGR018C",16776,26,12,9
"YGR050C",16470,28,6,18
"YGR073C",16496,28,3,20
"YGR107W",16580,26,12,20
"YGR174W-A",16255,25,15,17
"YGR219W",16787,26,8,12
"YHL002C-A",16878,26,15,22
"YHL015W-A",16253,25,11,17
"YHL019W-A",16906,27,10,4
"YHL034W-A",16857,26,3,21
"YHR021W-A",3419,12,9,15
"YHR028W-A",16387,26,6,7
"YHR032W-A",16277,25,6,23
"YHR056W-A",16852,26,10,19
"YHR063W-A",16427,26,9,11
"YHR070C-A",16556,28,9,6
"YHR071C-A",16380,26,13,6
"YHR130C",16419,26,11,10
"YHR139C-A",16362,26,4,5
"YHR173C",16434,26,4,12
"YIL012W",16439,26,13,12
"YIL032C",16471,28,7,18
"YIL066W-A",16578,26,8,20
"YIL086C",16354,26,6,4
"YIL100W",16468,28,4,18
"YIL163C",16466,26,6,15
"YIR020C",16338,26,2,3
"YIR020C-B",16619,27,4,7
"YJL156W-A",16291,28,7,15
"YJL169W",16489,28,10,19
"YJL202C",16449,26,10,13
"YJL211C",16577,26,7,20
"YJR023C",16538,26,8,16
"YJR038C",16482,28,3,19
"YJR128W",16475,28,11,18
"YKL036C",16529,28,6,22
"YKL037W",16472,28,8,18
"YKL044W",16388,26,7,7
"YKL053W",16508,28,14,20
"YKL066W",16574,26,4,20
"YKL102C",16342,26,6,3
"YKL136W",16535,26,5,16
"YKL165C-A",16302,27,10,12
"YKR012C",16512,28,4,21
"YKR032W",16372,26,15,5
"YLL006W-A",3865,14,3,2
"YLR111W",16416,26,6,10
"YLR112W",16561,26,9,18
"YLR122C",16514,28,6,21
"YLR269C",16460,26,13,14
"YLR279W",16525,28,3,22
"YLR311C",16447,26,8,13
"YLR322W",16373,26,2,6
"YLR338W",16622,28,13,6
"YLR402W",16282,28,13,14
"YLR406C-A",3632,13,5,15
"YML047W-A",16486,28,7,19
"YML084W",16351,26,3,4
"YML101C-A",16762,26,7,6
"YML101C-A",1461,5,15,12
"YMR103C",384,2,5,18
"YMR151W",447,2,9,2
"YMR153C-A",16428,26,10,11
"YMR194C-A",16296,28,12,15
"YMR245W",16912,27,4,5
"YMR254C",16356,26,8,4
"YMR306C-A",16523,28,15,21
"YNL017C",16785,26,13,11
"YNL109W",16600,27,11,2
"YNL114C",16494,28,15,19
"YNL143C",16527,28,5,22
"YNL146C-A",16283,28,14,14
"YNR001W-A",16290,28,6,15
"YOL013W-A",4773,17,3,10
"YOL085W-A",16287,27,7,12
"YOL099C",16879,26,3,23
"YOL134C",16522,28,14,21
"YOR029W",16425,26,6,11
"YOR034C-A",16305,28,3,16
"YOR183W",1661,6,10,18
"YOR225W",16408,26,9,9
"YOR329W-A",16286,28,3,15
"YOR376W",16490,28,11,19
"YPL025C",16604,27,6,3
"YPL044C",16893,28,10,6
"YPL062W",16545,26,15,16
"YPR096C",16334,26,9,2
"YPR136C",16883,26,15,23
"YPR195C",16406,26,7,9
