"elm_name","n","FunctionalSiteName","Description"
"CLV_PCSK_KEX2_1",4,"PCSK cleavage site","Yeast kexin 2 cleavage site (K-R-|-X or R-R-|-X)."
"DEG_Nend_Nbox_1",3,"N-degron","N-terminal motif that initiates protein degradation by binding to the N-box of N-recognins. This N-degron variant comprises N-terminal a bulky hydrophobic residue as destabilizing residue."
"DOC_CYCLIN_RxL_1",1,"Cyclin N-terminal Domain Docking Motifs","Both fungal and mammalian S-phase Cyclin/CDK complexes recognize specific RxL docking motifs in their target proteins."
"DOC_CYCLIN_yCln2_LP_2",1,"Cyclin N-terminal Domain Docking Motifs","The budding yeast G1/S cyclins Cln1 and 2 bind a specific leucine- and proline-rich (LP) docking motif on G1-specific target proteins."
"DOC_MAPK_gen_1",2,"MAPK docking motifs","MAPK interacting molecules (e.g. MAPKKs, substrates, phosphatases) carry docking motif that help to regulate specific interaction in the MAPK cascade. The classic motif approximates (R/K)xxxx#x# where # is a hydrophobic residue."
"DOC_MAPK_MEF2A_6",2,"MAPK docking motifs","A kinase docking motif that mediates interaction towards the ERK1/2 and p38 subfamilies of MAP kinases."
"DOC_PP1_RVXF_1",1,"PP1-docking motif RVXF","Protein phosphatase 1 catalytic subunit (PP1c) interacting motif binds targeting proteins that dock to the substrate for dephosphorylation. The motif defined is [RK]{0,1}[VI][^P][FW]."
"DOC_PP2A_B56_1",1,"PP2A holoenzyme B56-docking site","Docking site required for the regulatory subunit B56 of PP2A for protein dephosphorylation."
"DOC_USP7_MATH_1",1,"USP7 binding motif","The USP7 MATH domain binding motif variant based on the MDM2 and p53 interactions."
"DOC_USP7_UBL2_3",2,"USP7 binding motif","The USP7 CTD domain binding motif variant based on the ICP0 and DNMT1 interactions"
"DOC_WW_Pin1_4",1,"WW domain ligands","The Class IV WW domain interaction motif is recognised primarily by the Pin1 phosphorylation-dependent prolyl isomerase."
"LIG_BRCT_BRCA1_1",2,"BRCT phosphopeptide ligands","Phosphopeptide motif which directly interacts with the BRCT (carboxy-terminal) domain  of the Breast Cancer Gene BRCA1 with low affinity"
"LIG_Clathr_ClatBox_1",1,"Clathrin box","Clathrin box motif found on cargo adaptor proteins, it interacts with the beta propeller structure located at the N-terminus of Clathrin heavy chain."
"LIG_FHA_1",3,"FHA phosphopeptide ligands","Phosphothreonine motif binding a subset of FHA domains that show a preference for a large aliphatic amino acid at the pT+3 position."
"LIG_LIR_Gen_1",3,"Atg8 protein family ligands","Canonical LIR motif that binds to Atg8/LC3 protein family members to mediate processes involved in autophagy."
"LIG_MLH1_MIPbox_1",1,"MLH1 C-terminal Domain Ligand","Proteins involved in DNA repair and replication employ conserved MIP-box motifs to bind the C-terminal domain of mismatch repair protein MLH1."
"LIG_PCNA_yPIPBox_3",1,"PCNA binding PIP Box","The PCNA binding motifs include the PIP Box, PIP degron and the APIM motif, and are found in proteins involved in DNA replication, repair, methylation and cell cycle control. This is the variant for the yeast PIPbox"
"LIG_PDZ_Class_2",2,"PDZ domain ligands","The C-terminal class 2 PDZ-binding motif is classically represented by a pattern such as (VYF)X(VIL)*"
"LIG_Pex14_1",1,"Pex14 ligand motif","Wxxx[FY] motifs present in N-terminal half of Pex5 bind to Pex13 and Pex14 at peroxisomal and glycosomal membranes to facilitate entrance of PTS1 cargo proteins into the organellar lumen."
"LIG_Pex14_2",3,"Pex14 ligand motif","Fxxx[WF] motifs are present in Pex19 and S. cerevisiae Pex5 cytosolic receptors that bind to peroxisomal membrane docking member, Pex14"
"LIG_REV1ctd_RIR_1",1,"RIR motif","Several DNA repair proteins interact with the C-terminal domain of the Rev1 translesion synthesis scaffold through the Rev1-Interacting Region RIR motif that is centred around two neighbouring Phe residues."
"LIG_SUMO_SIM_anti_2",1,"SUMO interaction site","Motif for the antiparallel beta augmentation mode of non-covalent binding to SUMO protein."
"LIG_SUMO_SIM_par_1",1,"SUMO interaction site","Motif for the parallel beta augmentation mode of non-covalent binding to SUMO protein."
"LIG_UBA3_1",1,"Binding motif for UBA3 adenylation domain","UBA3 adenylation domain binding motif variant based on the UBE2M and UBE2F interactions."
"LIG_WD40_WDR5_VDV_2",3,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes."
"MOD_CDC14_SPxK_1",1,"Cdc14 phosphatase dephosphorylation site","A subset of Cdk phosphorylation sites conform to the (S)PxK/r pattern that serves as an optimal Cdc14 dephosphorylation site, allowing high catalytic efficiency."
"MOD_CDK_SPxK_1",1,"CDK Phosphorylation Site","Canonical version of the CDK phosphorylation site which shows specificity towards a lysine/arginine residue at the [ST]+3 position."
"MOD_CDK_SPxxK_3",1,"CDK Phosphorylation Site","Longer version of the CDK phosphorylation site which shows specificity towards a lysine/arginine residue at position +4 after the phospho-Ser/Thr"
"MOD_CK1_1",2,"Casein kinase 1 (CK1) Phosphorylation site","CK1 phosphorylation site"
"MOD_CK2_1",1,"Casein kinase 2 (CK2) Phosphorylation site","Casein kinase 2 (CK2) phosphorylation site"
"MOD_GSK3_1",2,"GSK3 phosphorylation site","GSK3 phosphorylation recognition site"
"MOD_N-GLC_1",1,"N-glycosylation site","Generic motif for N-glycosylation. It was shown that Trp, Asp, and Glu are uncommon before the Ser/Thr position. Efficient glycosylation usually occurs when ~60 residues or more separate the glycosylation acceptor site from the C-terminus."
"MOD_NEK2_2",1,"NEK2 phosphorylation site","NEK2 phosphorylation motif with specific set of residues in the +1 and +2 position to compensate for less favorable residues in the -3 position."
"MOD_NMyristoyl",1,"N-myristoylation site","Generic motif for N-Myristoylation site."
"MOD_ProDKin_1",1,"MAPK Phosphorylation Site","Proline-Directed Kinase (e.g. MAPK) phosphorylation site in higher eukaryotes."
"MOD_SUMO_for_1",1,"Sumoylation site","Motif recognised for modification by SUMO-1"
"MOD_SUMO_rev_2",1,"Sumoylation site","Inverted version of SUMOylation motif recognized for modification by SUMO-1"
"TRG_DiLeu_BaEn_1",1,"Adaptin binding Endosome-Lysosome-Basolateral sorting signals","Classical adaptin sigma subunit-binding acidic dileucine motifs sorting in Endosomal-Basolateral trafficking."
"TRG_ENDOCYTIC_2",3,"Y-based sorting signal","Tyrosine-based sorting signal responsible for the interaction with mu subunit of AP (Adaptor Protein) complex"
"TRG_ER_diArg_1",2,"di Arginine retention/retrieving signal","The di-Arg ER retention motif is defined by two consecutive arginine residues (RR) or with a single residue insertion (RXR). The motif is completed by an adjacent hydrophobic/arginine residue which may be on either side of the Arg pair."
