"min_peps","min_prob","min_crap_expt","just_ybr","minus_cntrl","minus_crap"
1,90,1,192,112,40
1,90,3,192,112,71
1,90,5,192,112,86
1,90,7,192,112,97
1,90,9,192,112,103
1,90,11,192,112,106
1,90,13,192,112,110
1,90,15,192,112,112
1,80,1,192,112,40
1,80,3,192,112,71
1,80,5,192,112,86
1,80,7,192,112,97
1,80,9,192,112,103
1,80,11,192,112,106
1,80,13,192,112,110
1,80,15,192,112,112
5,90,1,66,27,7
5,90,3,66,27,12
5,90,5,66,27,18
5,90,7,66,27,22
5,90,9,66,27,23
5,90,11,66,27,24
5,90,13,66,27,26
5,90,15,66,27,27
5,80,1,66,27,7
5,80,3,66,27,12
5,80,5,66,27,18
5,80,7,66,27,22
5,80,9,66,27,23
5,80,11,66,27,24
5,80,13,66,27,26
5,80,15,66,27,27
